GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BookingMx Backend,com.bookingmx.reservations.repo,ReservationRepository,52,0,2,0,10,0,6,0,5,0
BookingMx Backend,com.bookingmx.reservations.controller,ReservationController,53,0,0,0,11,0,6,0,6,0
BookingMx Backend,com.bookingmx.reservations.dto,ReservationRequest,31,0,0,0,9,0,9,0,9,0
BookingMx Backend,com.bookingmx.reservations.dto,ReservationResponse,39,0,0,0,10,0,7,0,7,0
BookingMx Backend,com.bookingmx.reservations.model,ReservationStatus,15,0,0,0,2,0,1,0,1,0
BookingMx Backend,com.bookingmx.reservations.model,Reservation,108,0,6,0,28,0,20,0,17,0
BookingMx Backend,com.bookingmx.reservations.exception,NotFoundException,4,0,0,0,1,0,1,0,1,0
BookingMx Backend,com.bookingmx.reservations.exception,ApiExceptionHandler,39,0,0,0,5,0,5,0,5,0
BookingMx Backend,com.bookingmx.reservations.exception,BadRequestException,4,0,0,0,1,0,1,0,1,0
BookingMx Backend,com.bookingmx.reservations.service,ReservationService,142,0,12,0,22,0,14,0,8,0
BookingMx Backend,com.bookingmx.reservations,BookingMxApplication,8,0,0,0,3,0,2,0,2,0
